title,author,year,link
"Emotional eating among adults with healthy weight, overweight and obesity: a systematic review and meta‐analysis",Sally Abbott,2023,https://pureportal.coventry.ac.uk/en/publications/emotional-eating-among-adults-with-healthy-weight-overweight-and-
"""Is it time to throw out the weighing scales?"" Implicit weight bias among healthcare professionals working in bariatric surgery services and their attitude towards non-weight focused approaches",Sally Abbott,2023,https://pureportal.coventry.ac.uk/en/publications/is-it-time-to-throw-out-the-weighing-scales-implicit-weight-bias-
Variation and outcomes of liver-reducing dietary regimens before bariatric surgery: a national retrospective cohort study,Sally Abbott,2023,https://pureportal.coventry.ac.uk/en/publications/variation-and-outcomes-of-liver-reducing-dietary-regimens-before-
Global variations in preoperative practices concerning patients seeking primary bariatric and metabolic surgery (PACT Study): A survey of 634 bariatric healthcare professionals,Sally Abbott,2022,https://pureportal.coventry.ac.uk/en/publications/global-variations-in-preoperative-practices-concerning-patients-s
Managing idiopathic intracranial hypertension in pregnancy: practical advice,Sally Abbott,2022,https://pureportal.coventry.ac.uk/en/publications/managing-idiopathic-intracranial-hypertension-in-pregnancy-practi
Risk of Harm from Use of Sodium-Glucose Co-Transporter-2 (SGLT-2) Inhibitors in Patients Pre or Post Bariatric Surgery,Sally Abbott,2022,https://pureportal.coventry.ac.uk/en/publications/risk-of-harm-from-use-of-sodium-glucose-co-transporter-2-sglt-2-i
The impact of patient anxiety on intragastric balloon (IGB) insertion procedure: a mixed-methods study,Sally Abbott,2022,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-patient-anxiety-on-intragastric-balloon-igb-inserti
Efficacy of pre-operative'liver shrinking'dietary regimens: a UK national cohort study,Sally Abbott,2021,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-pre-operativeliver-shrinkingdietary-regimens-a-uk-nat
Experiences and perceptions of dietitians for obesity management: a general practice qualitative study,Sally Abbott,2021,https://pureportal.coventry.ac.uk/en/publications/experiences-and-perceptions-of-dietitians-for-obesity-management-
Group versus one-to-one multi-component lifestyle interventions for weight management: a systematic review and meta-analysis of randomised controlled trials,Sally Abbott,2021,https://pureportal.coventry.ac.uk/en/publications/group-versus-one-to-one-multi-component-lifestyle-interventions-f
Post-bariatric surgery nutritional follow-up in primary care: a population-based cohort study,Sally Abbott,2021,https://pureportal.coventry.ac.uk/en/publications/post-bariatric-surgery-nutritional-follow-up-in-primary-care-a-po
